Date,Time,Error Type,Error Detail
2018-01-31,1938,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,1941,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-02,1012,Failure in /secure/getuser/,STATUS_INTERNAL_ERROR
2018-02-02,1306,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-02-02,1306-2,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-02-02,1542,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-02-05,1151,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-05,1158,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-06,1658,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-02-07,0032,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1109,OA4MP OIDC authz endpoint error,no client identifier has been supplied. Have you registered this client with the service?
2018-02-07,1110,OA4MP OIDC authz endpoint error,no client identifier has been supplied. Have you registered this client with the service?
2018-02-07,1110-2,OA4MP OIDC authz endpoint error,no client identifier has been supplied. Have you registered this client with the service?
2018-02-07,1110-3,OA4MP OIDC authz endpoint error,no client identifier has been supplied. Have you registered this client with the service?
2018-02-07,1117,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1122,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1124,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1128,OA4MP OIDC authz endpoint error,no client identifier has been supplied. Have you registered this client with the service?
2018-02-07,1359,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1400,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1400-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1600,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1621,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,1622,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-09,1541,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-09,1631,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-09,1702,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-09,1706,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-09,1706-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-09,1707,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-12,1414,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-02-12,1415,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-02-12,1426,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-02-12,1426-2,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-02-12,1503,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
2018-02-12,1505,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
2018-02-12,1506,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
