Date,Error Type,Error Detail
2018-02-27,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-28,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-01,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-02,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-03-03,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-03-06,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-06,OA4MP OIDC authz endpoint error,no client identifier has been supplied. Have you registered this client with the service?
2018-03-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-08,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-08,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-14,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-14,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-16,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-03-18,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-03-19,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-19,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-03-19,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-20,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-20,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-20,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-23,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-26,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-26,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-03,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-03,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-04,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-04,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-04-06,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-06,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-07,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-08,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-08,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-04-09,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-09,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-04-09,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-10,dbService Error,STATUS_TRANSACTION_NOT_FOUND
