Date,Shibboleth ErrorText
2018-05-18,Invalid HTTP method (GET).
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,"Message was signed, but signature could not be verified."
2018-05-18,Request missing SAMLRequest or SAMLResponse form parameter.
2018-05-18,Request missing SAMLRequest or SAMLResponse form parameter.
2018-05-18,Request missing SAMLRequest or SAMLResponse form parameter.
2018-05-18,Request missing SAMLRequest or SAMLResponse form parameter.
2018-05-18,Request missing SAMLRequest or SAMLResponse form parameter.
2018-05-18,Request missing SAMLRequest or SAMLResponse form parameter.
2018-05-18,Request missing SAMLRequest or SAMLResponse form parameter.
2018-05-18,SAML response reported an IdP error.
2018-05-18,Unable to establish security of incoming assertion.
2018-05-18,Unable to establish security of incoming assertion.
2018-05-20,Request missing SAMLRequest or SAMLResponse form parameter.
2018-05-21,Invalid HTTP method (GET).
2018-05-21,Invalid HTTP method (GET).
2018-05-21,Invalid HTTP method (GET).
2018-05-21,Invalid HTTP method (GET).
2018-05-21,Invalid HTTP method (GET).
2018-05-22,SAML response reported an IdP error.
2018-05-23,Rejecting replayed message ID.
2018-05-23,Rejecting replayed message ID.
2018-05-23,Rejecting replayed message ID.
2018-05-23,SAML response reported an IdP error.
2018-05-25,SAML response reported an IdP error.
2018-05-25,SAML response reported an IdP error.
2018-05-25,SAML response reported an IdP error.
2018-05-25,SAML response reported an IdP error.
2018-05-25,SAML response reported an IdP error.
2018-05-25,SAML response reported an IdP error.
2018-05-25,SAML response reported an IdP error.
2018-05-26,SAML response reported an IdP error.
2018-05-26,SAML response reported an IdP error.
2018-05-28,SAML response reported an IdP error.
2018-05-29,Shibboleth handler invoked at an unconfigured location.
2018-05-30,SAML response reported an IdP error.
2018-06-02,SAML response reported an IdP error.
2018-06-03,None of the configured SessionInitiators handled the request.
2018-06-04,Invalid HTTP method (GET).
2018-06-04,Invalid HTTP method (GET).
2018-06-04,None of the configured SessionInitiators handled the request.
2018-06-04,SAML response reported an IdP error.
2018-06-04,SAML response reported an IdP error.
2018-06-04,SAML response reported an IdP error.
2018-06-05,None of the configured SessionInitiators handled the request.
2018-06-05,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-06,SAML response reported an IdP error.
2018-06-06,Shibboleth handler invoked at an unconfigured location.
2018-06-07,SAML response reported an IdP error.
2018-06-07,SAML response reported an IdP error.
2018-06-07,SAML response reported an IdP error.
2018-06-07,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-07,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-07,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-07,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-07,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-11,SAML response reported an IdP error.
2018-06-11,Unable to establish security of incoming assertion.
2018-06-11,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-11,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-11,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-11,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-11,Unable to locate satisfiable bearer SubjectConfirmation in assertion.
2018-06-12,SAML response reported an IdP error.
2018-06-12,Shibboleth handler invoked at an unconfigured location.
2018-06-12,Shibboleth handler invoked at an unconfigured location.
2018-06-12,Shibboleth handler invoked at an unconfigured location.
2018-06-14,Invalid content type for PAOS message.
2018-06-14,Invalid HTTP method (GET).
2018-06-14,Invalid HTTP method (GET).
2018-06-14,Invalid HTTP method (GET).
2018-06-14,Invalid HTTP method (GET).
2018-06-14,Invalid HTTP method (GET).
2018-06-14,Invalid HTTP method (GET).
2018-06-14,Invalid HTTP method (GET).
2018-06-14,None of the configured SessionInitiators handled the request.
2018-06-14,None of the configured SessionInitiators handled the request.
2018-06-14,Request missing SAMLart or TARGET query string parameters.
2018-06-14,Request missing SAMLart query string or form parameter.
2018-06-14,Request missing SAMLart query string or form parameter.
2018-06-19,Invalid HTTP method (GET).
2018-06-19,SAML response reported an IdP error.
2018-06-19,SAML response reported an IdP error.
2018-06-19,SAML response reported an IdP error.
2018-06-19,SAML response reported an IdP error.
2018-06-20,Invalid HTTP method (GET).
2018-06-20,SAML response reported an IdP error.
2018-06-20,SAML response reported an IdP error.
2018-06-20,SAML response reported an IdP error.
2018-06-22,Invalid HTTP method (GET).
2018-06-25,"Message was signed, but signature could not be verified."
2018-06-25,"Message was signed, but signature could not be verified."
2018-06-26,SAML response reported an IdP error.
2018-06-30,Invalid HTTP method (GET).
2018-06-30,Invalid HTTP method (GET).
2018-07-12,Rejecting replayed message ID.
2018-07-15,Rejecting replayed message ID.
2018-07-16,Invalid HTTP method (GET).
2018-07-19,None of the configured SessionInitiators handled the request.
2018-07-19,SAML response reported an IdP error.
2018-07-19,Unable to locate metadata for identity provider
2018-07-20,Shibboleth handler invoked at an unconfigured location.
2018-07-20,Shibboleth handler invoked at an unconfigured location.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-21,None of the configured SessionInitiators handled the request.
2018-07-22,None of the configured SessionInitiators handled the request.
2018-07-25,Invalid content type for PAOS message.
2018-08-01,SAML response reported an IdP error.
2018-08-01,SAML response reported an IdP error.
2018-08-01,SAML response reported an IdP error.
2018-08-02,SAML response reported an IdP error.
2018-08-02,SAML response reported an IdP error.
2018-08-02,Unable to establish security of incoming assertion.
2018-08-02,Unable to locate metadata for identity provider
2018-08-03,"Message was signed, but signature could not be verified."
2018-08-04,Unable to establish security of incoming assertion.
2018-08-05,Target resource was not an absolute URL.
2018-08-06,"Message was signed, but signature could not be verified."
2018-08-07,Invalid HTTP method (GET).
2018-08-14,Invalid HTTP method (GET).
2018-08-14,SAML response reported an IdP error.
2018-08-14,SAML response reported an IdP error.
2018-08-15,SAML response reported an IdP error.
2018-08-17,SAML response reported an IdP error.
2018-08-19,Rejecting replayed message ID.
2018-08-20,SAML response reported an IdP error.
2018-08-20,SAML response reported an IdP error.
2018-08-20,SAML response reported an IdP error.
2018-08-20,SAML response reported an IdP error.
2018-08-20,SAML response reported an IdP error.
2018-09-06,Invalid HTTP method (GET).
2018-09-06,Invalid HTTP method (GET).
2018-09-10,Invalid HTTP method (GET).
2018-09-10,Invalid HTTP method (GET).
2018-09-17,SAML response reported an IdP error.
2018-09-24,SAML response reported an IdP error.
2018-09-28,None of the configured SessionInitiators handled the request.
2018-10-05,None of the configured SessionInitiators handled the request.
2018-10-09,None of the configured SessionInitiators handled the request.
2018-10-09,Rejecting replayed message ID.
2018-10-12,SAML response reported an IdP error.
2018-10-12,SAML response reported an IdP error.
2018-10-12,SAML response reported an IdP error.
2018-10-12,SAML response reported an IdP error.
2018-10-12,SAML response reported an IdP error.
2018-10-12,SAML response reported an IdP error.
2018-10-16,SAML response reported an IdP error.
2018-10-16,SAML response reported an IdP error.
2018-10-23,Request missing SAMLRequest or SAMLResponse form parameter.
2018-10-23,Request missing SAMLRequest or SAMLResponse form parameter.
2018-10-23,Request missing SAMLRequest or SAMLResponse form parameter.
2018-10-26,None of the configured SessionInitiators handled the request.
2018-10-26,None of the configured SessionInitiators handled the request.
2018-10-26,Shibboleth handler invoked at an unconfigured location.
2018-10-30,None of the configured SessionInitiators handled the request.
2018-10-30,None of the configured SessionInitiators handled the request.
2018-10-30,SAML response reported an IdP error.
2018-10-30,SAML response reported an IdP error.
2018-10-31,Invalid HTTP method (GET).
2018-11-02,Invalid HTTP method (GET).
2018-11-02,Invalid HTTP method (GET).
2018-11-04,Unable to establish security of incoming assertion.
2018-11-07,SAML response reported an IdP error.
2018-11-07,Shibboleth handler invoked at an unconfigured location.
2018-11-08,Request missing SAMLRequest or SAMLResponse form parameter.
2018-11-12,SAML response reported an IdP error.
2018-11-12,SAML response reported an IdP error.
2018-11-12,SAML response reported an IdP error.
2018-11-16,SAML response reported an IdP error.
2018-11-16,SAML response reported an IdP error.
2018-11-20,Rejecting replayed message ID.
2018-11-20,SAML response reported an IdP error.
2018-11-21,Shibboleth handler invoked at an unconfigured location.
2018-11-28,Invalid HTTP method (GET).
2018-12-01,None of the configured SessionInitiators handled the request.
2018-12-01,None of the configured SessionInitiators handled the request.
2018-12-01,None of the configured SessionInitiators handled the request.
2018-12-01,None of the configured SessionInitiators handled the request.
2018-12-01,None of the configured SessionInitiators handled the request.
2018-12-05,Invalid HTTP method (GET).
2018-12-07,SAML response reported an IdP error.
2018-12-07,SAML response reported an IdP error.
2018-12-07,SAML response reported an IdP error.
2018-12-10,None of the configured SessionInitiators handled the request.
2018-12-10,SAML response reported an IdP error.
2018-12-13,Target resource was not an absolute URL.
2018-12-18,Invalid HTTP method (GET).
2018-12-18,Invalid HTTP method (GET).
2018-12-18,"Message was signed, but signature could not be verified."
2018-12-18,"Message was signed, but signature could not be verified."
2018-12-19,Unable to establish security of incoming assertion.
2018-12-19,Unable to establish security of incoming assertion.
2018-12-19,Unable to establish security of incoming assertion.
2018-12-19,Unable to establish security of incoming assertion.
2018-12-19,Unable to establish security of incoming assertion.
2018-12-19,Unable to establish security of incoming assertion.
2018-12-19,Unable to establish security of incoming assertion.
2018-12-19,Unable to establish security of incoming assertion.
2018-12-28,Invalid HTTP method (GET).
2019-01-06,Invalid HTTP method (GET).
2019-01-06,Invalid HTTP method (GET).
2019-01-07,"Message expired, was issued too long ago."
2019-01-11,Request missing SAMLRequest or SAMLResponse form parameter.
2019-01-11,Request missing SAMLRequest or SAMLResponse form parameter.
2019-01-13,SAML response reported an IdP error.
2019-01-13,SAML response reported an IdP error.
2019-01-14,SAML response reported an IdP error.
2019-01-15,Request missing SAMLRequest or SAMLResponse form parameter.
2019-01-18,None of the configured SessionInitiators handled the request.
2019-01-18,None of the configured SessionInitiators handled the request.
2019-01-21,SAML response reported an IdP error.
2019-01-21,SAML response reported an IdP error.
2019-01-22,SAML response reported an IdP error.
2019-01-22,SAML response reported an IdP error.
2019-01-22,SAML response reported an IdP error.
2019-01-29,Rejecting replayed message ID.
2019-01-30,Rejecting replayed message ID.
2019-01-31,SAML response reported an IdP error.
2019-01-31,SAML response reported an IdP error.
2019-01-31,Unable to locate metadata for identity provider
2019-02-02,Invalid HTTP method (GET).
2019-02-04,None of the configured SessionInitiators handled the request.
2019-02-06,SAML response reported an IdP error.
2019-02-06,SAML response reported an IdP error.
2019-02-06,SAML response reported an IdP error.
2019-02-07,Unable to locate metadata for identity provider
2019-02-08,SAML response reported an IdP error.
2019-02-08,SAML response reported an IdP error.
2019-02-08,SAML response reported an IdP error.
2019-02-08,SAML response reported an IdP error.
2019-02-08,SAML response reported an IdP error.
2019-02-08,SAML response reported an IdP error.
2019-02-11,Invalid HTTP method (GET).
2019-02-11,SAML response reported an IdP error.
2019-02-13,None of the configured SessionInitiators handled the request.
2019-02-14,None of the configured SessionInitiators handled the request.
2019-02-19,Invalid HTTP method (GET).
2019-02-20,None of the configured SessionInitiators handled the request.
2019-02-20,None of the configured SessionInitiators handled the request.
2019-02-20,None of the configured SessionInitiators handled the request.
2019-02-20,None of the configured SessionInitiators handled the request.
2019-02-20,None of the configured SessionInitiators handled the request.
2019-02-20,None of the configured SessionInitiators handled the request.
2019-02-20,None of the configured SessionInitiators handled the request.
2019-02-20,None of the configured SessionInitiators handled the request.
2019-02-20,SAML response reported an IdP error.
2019-02-23,SAML response reported an IdP error.
2019-02-23,SAML response reported an IdP error.
2019-02-23,SAML response reported an IdP error.
2019-02-23,SAML response reported an IdP error.
2019-02-23,SAML response reported an IdP error.
2019-02-25,None of the configured SessionInitiators handled the request.
2019-02-25,None of the configured SessionInitiators handled the request.
2019-02-25,None of the configured SessionInitiators handled the request.
2019-02-25,Rejecting replayed message ID.
2019-02-26,Invalid HTTP method (GET).
2019-02-27,Invalid HTTP method (GET).
2019-02-27,Shibboleth handler invoked at an unconfigured location.
2019-02-28,Invalid HTTP method (GET).
2019-02-28,"Message expired, was issued too long ago."
2019-02-28,"Message expired, was issued too long ago."
2019-02-28,"Message expired, was issued too long ago."
2019-02-28,"Message expired, was issued too long ago."
2019-02-28,"Message expired, was issued too long ago."
2019-02-28,None of the configured SessionInitiators handled the request.
2019-03-05,SAML response reported an IdP error.
2019-03-05,SAML response reported an IdP error.
2019-03-05,SAML response reported an IdP error.
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,Invalid HTTP method (GET).
2019-03-07,"Message expired, was issued too long ago."
2019-03-07,"Message expired, was issued too long ago."
2019-03-07,"Message expired, was issued too long ago."
2019-03-07,None of the configured SessionInitiators handled the request.
2019-03-07,SAML response reported an IdP error.
2019-03-07,SAML response reported an IdP error.
2019-03-09,Invalid HTTP method (GET).
2019-03-12,Rejecting replayed message ID.
2019-03-13,Invalid HTTP method (GET).
2019-03-13,Unable to establish security of incoming assertion.
2019-03-14,Invalid HTTP method (GET).
2019-03-17,Invalid HTTP method (GET).
2019-03-18,None of the configured SessionInitiators handled the request.
2019-03-18,Rejecting replayed message ID.
2019-03-18,Rejecting replayed message ID.
2019-03-19,Invalid HTTP method (GET).
2019-03-20,Invalid HTTP method (GET).
2019-03-20,Invalid HTTP method (GET).
2019-03-20,Invalid HTTP method (GET).
2019-03-20,Invalid HTTP method (GET).
2019-03-20,Rejecting replayed message ID.
2019-03-20,SAML response reported an IdP error.
2019-03-22,Invalid HTTP method (GET).
2019-03-27,Rejecting replayed message ID.
2019-03-31,Invalid HTTP method (GET).
2019-04-01,"Message expired, was issued too long ago."
2019-04-02,Rejecting replayed message ID.
2019-04-03,Rejecting replayed message ID.
2019-04-04,Invalid HTTP method (GET).
2019-04-05,SAML response reported an IdP error.
2019-04-06,Invalid HTTP method (GET).
2019-04-09,Invalid HTTP method (GET).
2019-04-09,Request missing SAMLRequest or SAMLResponse form parameter.
2019-04-11,Invalid HTTP method (GET).
2019-04-11,Invalid HTTP method (GET).
2019-04-11,Request missing SAMLRequest or SAMLResponse form parameter.
2019-04-11,Request missing SAMLRequest or SAMLResponse form parameter.
2019-04-11,Request missing SAMLRequest or SAMLResponse form parameter.
2019-04-11,SAML response reported an IdP error.
2019-04-15,None of the configured SessionInitiators handled the request.
2019-04-17,Request missing SAMLRequest or SAMLResponse form parameter.
2019-04-18,Invalid HTTP method (GET).
2019-04-18,"Message expired, was issued too long ago."
2019-04-18,SAML response reported an IdP error.
2019-04-21,Invalid HTTP method (GET).
2019-04-21,Invalid HTTP method (GET).
2019-04-22,None of the configured SessionInitiators handled the request.
2019-04-23,Invalid HTTP method (GET).
2019-04-23,None of the configured SessionInitiators handled the request.
2019-04-23,SAML response reported an IdP error.
2019-04-24,Invalid HTTP method (GET).
2019-04-26,Request missing SAMLRequest or SAMLResponse form parameter.
2019-04-27,None of the configured SessionInitiators handled the request.
2019-04-28,Invalid HTTP method (GET).
2019-04-29,Request missing SAMLRequest or SAMLResponse form parameter.
2019-04-30,Invalid HTTP method (GET).
2019-04-30,Invalid HTTP method (GET).
2019-04-30,None of the configured SessionInitiators handled the request.
2019-05-03,Invalid HTTP method (GET).
2019-05-06,None of the configured SessionInitiators handled the request.
2019-05-08,SAML response reported an IdP error.
2019-05-08,SAML response reported an IdP error.
2019-05-08,SAML response reported an IdP error.
2019-05-09,Rejecting replayed message ID.
2019-05-10,None of the configured SessionInitiators handled the request.
2019-05-12,Invalid HTTP method (GET).
2019-05-14,Invalid HTTP method (GET).
2019-05-16,None of the configured SessionInitiators handled the request.
2019-05-16,Unable to establish security of incoming assertion.
2019-05-18,Invalid HTTP method (GET).
2019-05-20,Invalid HTTP method (GET).
2019-05-20,None of the configured SessionInitiators handled the request.
2019-05-21,Rejecting replayed message ID.
2019-05-22,Invalid HTTP method (GET).
2019-05-22,Invalid HTTP method (GET).
2019-05-23,Rejecting replayed message ID.
2019-05-23,Rejecting replayed message ID.
2019-05-25,Invalid HTTP method (GET).
2019-05-27,Invalid HTTP method (GET).
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
